pathogen_term,disease_term,text,Relationship,pathogen_synonyms,disease_synonyms
chikungunya virus,japanese encephalitis,"In 2005, established populations of Aedes albopictus (Skuse) were discovered in the Torres Strait, the region that separates Papua New Guinea from northern Australia. This increased the potential for this species to be introduced to mainland Australia. Because it is an arbovirus vector elsewhere, we undertook laboratory-based infection and transmission experiments to determine the potential for Ae. albopictus from the Torres Strait to become infected with and transmit the four major Australian endemic arboviruses--Murray Valley encephalitis virus, West Nile virus Kunjin strain (WNV(KUN)), Ross River virus (RRV), and Barmah Forest virus--as well as the exotic Japanese encephalitis virus. Ae. albopictus is susceptible to infection with all viruses, with infection rates ranging between 8% for WNV(KUN) and 71% for RRV. Transmission rates of approximately 25% were observed for RRV and Barmah Forest virus, but these were < 17% for Murray Valley encephalitis virus, WNV(KUN), and Japanese encephalitis virus. Given its relative vector competence for alphaviruses, we also examined the replication kinetics and extrinsic incubation periods required for transmission of RRV and chikungunya virus. Despite lower body titers, more mosquitoes reared and maintained at 28 degrees C became infected with and transmitted the virus than those reared and maintained at 22 degrees C. The minimum time between Ae. albopictus consuming an infected bloodmeal and transmitting chikungunya virus was 2 d at 28 degrees C and 4 d at 22 degrees C, and for RRV, it was 4 d, irrespective of the temperature. Given its opportunistic feeding habits and aggressive biting behavior, the establishment of Ae. albopictus on the Australian mainland could have a considerable impact on alphavirus transmission.",no,Chikungunya virus,Japanese encephalitis|japanese b encephalitis
getah virus,japanese encephalitis,"We detected two viruses, Japanese encephalitis virus (JEV)/Kochi/01/2005 and Getah virus (GETV)/Kochi/01/2005 in the same culture supernatant obtained by inoculation of Vero cells with a swine serum sample and subsequent passaging of the supernatant in Vero cells. Phylogenetic analysis using the nucleotide sequences of the complete genome and the E2 region of GETV indicated that GETV/Kochi/01/2005 is most similar to a Mongolian strain. In contrast, a partial sequence of the nsP1 protein coding region of GETV/Kochi/01/2005 showed that it was similar to Japanese strains isolated in the 1980s. Alignment of the nucleotide sequence of the E region of JEV showed that JEV/Kochi/01/2005 has the highest similarity to a Japanese strain. We also examined the changes in the amount of JEV/Kochi/01/2005 and GETV/Kochi/01/2005 present after passaging in Vero cells. The RNA copy number and infectious titer of JEV/Kochi/01/2005 decreased, whereas those of GETV/Kochi/01/2005 increased, following repeated passages in Vero cells. Our results provide evidence for coinfection with JEV and GETV in the Kochi/01/2005 pig. This is the first report of incidental confection with JEV and GETV in a domestic animal.",no,Getah virus,Japanese encephalitis|japanese b encephalitis
streptococcus pneumoniae,invasive pneumococcal disease,"HIV-infected patients remain at higher risk for pneumococcal disease than the general population despite immune reconstitution and suppression of HIV replication with combination antiretroviral therapy. Vaccination with 23-valent pneumococcal polysaccharide vaccine (PPV23) composed of T-cell-independent antigens has been recommended to reduce the risk of pneumococcal disease in HIV-infected adults. However, given the heterogeneity of study design, execution and subjects enrolled, studies examining serological responses to PPV23 yielded conflicting results and observational studies of clinical effectiveness only provided moderate evidence to support the routine use of PPV23 in HIV-infected adults. Pneumococcal conjugate vaccine (PCV), with conjugation of the capsular polysaccharide to a protein carrier, is more immunogenic than PPV23 and has been demonstrated to protect against pneumococcal disease in HIV-infected children and recurrent invasive pneumococcal disease in HIV-infected adolescents and adults. Guidelines have recently been revised to recommend that HIV-infected patients aged 19 y or older receive one dose of 13-valent pneumococcal conjugate vaccine (PCV13) followed by a booster vaccination with PPV23. In this paper, we review the studies using different vaccination strategies to improve immunogenicity among HIV-infected adult patients.",no,Streptococcus pneumoniae|Diplococcus pneumoniae|Micrococcus pneumoniae,Invasive pneumococcal disease
staphylococcus aureus,japanese encephalitis,"INTRODUCTION: Laos has the highest maternal mortality ratio in mainland Southeast Asia and a high incidence of infectious diseases. Globally, malaria has been the pathogen most intensively investigated in relation to impact on pregnancy, but there has been relatively little research on the aetiology and impact of other diseases. We therefore aimed to determine the causes and impact of fever in pregnant women admitted to two central hospitals in Vientiane City, Lao PDR (Laos). MATERIALS AND METHODS: This hospital-based prospective study was conducted in Mahosot Hospital and the Mother and Child Hospital, Vientiane, between 2006 and 2010, with the aim to recruit 250 consenting pregnant women admitted with tympanic temperature >/=37.5 degrees C. Primary outcome was the cause of fever and secondary outcomes were pregnancy outcomes. Specific investigations (culture, antigen, molecular and serological tests) were performed to investigate causes of fever. After discharge, all pregnant women were asked to return for review and convalescence serum on day 10-14 and were monitored until delivery. PRINCIPLE FINDINGS: 250 pregnant women were recruited to this study between February 2006 and November 2010. Fifty percent were pregnant for the first time. Their median (range) gestational age on admission was 24 (4-43) weeks. The median (range) tympanic admission temperature was 38.5 degrees C (37.5-40.5 degrees C). Fifteen percent of patients stated that they had taken antibiotics before admission. Headache, myalgia, back pain and arthralgia were described by >60% of patients and 149 (60%) were given a laboratory diagnosis. Of those with confirmed diagnoses, 132 (53%) had a single disease and 17 (7%) had apparent mixed diseases. Among those who had a single disease, dengue fever was the most common diagnosis, followed by pyelonephritis, scrub typhus, murine typhus and typhoid. Patients were also diagnosed with tuberculosis, appendicitis, Staphylococcus aureus septicemia, leptospirosis, Japanese encephalitis virus infection and Plasmodium falciparum malaria. Severe consequences, including maternal death, miscarriage, stillbirth, low birth weight and preterm birth, were found among 28 (78%) mothers with dengue fever, rickettsioses and typhoid. CONCLUSION: Fevers other than malaria, such as dengue, pyelonephritis, rickettsioses and typhoid are common causes of fever during pregnancy in the Asian tropics. Further investigations of their impact in the community on maternal death, fetal loss, vertical transmission, low birth weight and preterm birth are needed.",no,Staphylococcus aureus|Staphlococcus pyogenes citreus|Staphylococcus aureus subsp. anaerobius|Micrococcus pyogenes|Staphylococcus pyogenes aureus|Micrococcus aureus,Japanese encephalitis|japanese b encephalitis
flavivirus,japanese encephalitis,"Flaviviruses are emerging arthropod-borne viruses representing an immense global health problem. The prominent viruses of this group include dengue virus, yellow fever virus, Japanese encephalitis virus, West Nile virus tick borne encephalitis virus and Zika Virus. These are endemic in many parts of the world. They are responsible for the illness ranging from mild flu like symptoms to severe hemorrhagic, neurologic and cognitive manifestations leading to death. NS1 is a highly conserved non-structural protein among flaviviruses, which exist in diverse forms. The intracellular dimer form of NS1 plays role in genome replication, whereas, the secreted hexamer plays role in immune evasion. The secreted NS1 has been identified as a potential diagnostic marker for early detection of the infections caused by flaviviruses. In addition to the diagnostic marker, the importance of NS1 has been reported in the development of therapeutics. NS1 based subunit vaccines are at various stages of development. The structural details and diverse functions of NS1 have been discussed in detail in this review.",no,Flavivirus,Japanese encephalitis|japanese b encephalitis
helicobacter pylori,ischemic stroke,"BACKGROUND AND AIMS: Infectious diseases contribute to stroke risk, and are associated with socioeconomic status (SES). We tested the hypotheses that the aggregate burden of infections increases the risk of ischemic stroke (IS) and partly explains the association between low SES and ischemic stroke. METHODS: In a case-control study with 470 ischemic stroke patients and 809 age- and sex-matched controls, randomly selected from the population, antibodies against the periodontal microbial agents Aggregatibacter actinomycetemcomitans and Porphyromonas gingivalis, against Chlamydia pneumonia, Mycoplasma pneumoniae (IgA and IgG), and CagA-positive Helicobacter pylori (IgG) were assessed. RESULTS: IgA seropositivity to two microbial agents was significantly associated with IS after adjustment for SES (OR 1.45 95% CI 1.01-2.08), but not in the fully adjusted model (OR 1.32 95% CI 0.86-2.02). By trend, cumulative IgA seropositivity was associated with stroke due to large vessel disease (LVD) after full adjustment (OR 1.88, 95% CI 0.96-3.69). Disadvantageous childhood SES was associated with higher cumulative seropositivity in univariable analyses, however, its strong impact on stroke risk was not influenced by seroepidemiological data in the multivariable model. The strong association between adulthood SES and stroke was rendered nonsignificant when factors of dental care were adjusted for. CONCLUSIONS: Infectious burden assessed with five microbial agents did not independently contribute to ischemic stroke consistently, but may contribute to stroke due to LVD. High infectious burden may not explain the association between childhood SES and stroke risk. Lifestyle factors that include dental negligence may contribute to the association between disadvantageous adulthood SES and stroke.",no,Helicobacter pylori|Campylobacter pylori subsp. pylori|Campylobacter pyloridis|Campylobacter pylori|Helicobacter nemestrinae,Ischemic stroke
herpes simplex virus,japanese encephalitis,"Anti-N-methyl-D-aspartate receptor encephalitis (anti-NMDARe) was originally described as a paraneoplastic disease with more than 50% cases involving a tumor. However, tumor incidence in anti-NMDARe in children is much lower. Herpes simplex virus-induced anti-NMDARe has been well-described; however, findings on Japanese encephalitis virus (JEV)-induced anti-NMDARe are scarce. Here, we describe a 7-year-old boy who presented with fever and headache that progressed to seizures and disturbance of consciousness. Brain magnetic resonance imaging (MRI) revealed abnormalities in the bilateral globus pallidus. The diagnosis of JE was made based on a positive JE antibody test results in serum and cerebrospinal fluid. Antiviral and symptomatic therapies led to rapid recovery. Four weeks after the onset of JE, the patient presented with emotional and behavioral disturbances, sleep difficulty, and extrapyramidal symptoms. MRI showed symmetrical lesions in the bilateral thalami and basal ganglia which were expanded than those on the original scan. Antibodies against NMDAR were detected and immunotherapy led to significant recovery. This case and our literature review suggest that JEV may be a clinically important cause of anti-NMDARe in children. Patients with JE-induced anti-NMDARe present with symptoms similar to those of patients with primary anti-NMDARe. Most patients with JE-induced anti-NMDARe showed a good response to first-line immunotherapies.",no,Simplexvirus humanalpha2|Herpes simplex virus,Japanese encephalitis|japanese b encephalitis
human immunodeficiency virus,invasive pneumococcal disease,"BACKGROUND/AIM: Streptococcus pneumoniae is the leading cause of bacterial pneumonia and an important cause of invasive disease. Despite the antiretroviral therapies, adults infected with human immunodeficiency virus (HIV) are at particular risk for invasive pneumococcal disease (IPD). The purpose of this study was to report the efficacy of the strategies currently being used in pneumococcal vaccination for HIV-infected adults. MATERIALS AND METHODS: A literature search was performed through electronic databases, for original articles in English, from years 2000 to 2019. Clinical trials controlled or randomized, and cohort studies were included. RESULTS: While 23-valent pneumococcal polysaccharide vaccine (PPV23) is recommended for immunocompromised patients, it has been reported that it is less suitable for HIV-infected patients. Recent guidelines have added pneumococcal conjugate vaccine (PCV) to the list of recommended vaccines. CONCLUSION: Further studies are needed to determine the optimal vaccines and intervals for subsequent revaccinations during the lifetime.",yes,Human immunodeficiency virus,Invasive pneumococcal disease
flavivirus,japanese encephalitis,"Many positive-stranded RNA viruses encode polyproteins from which viral proteins are generated by processing the polyproteins. This system produces an equal amount of each viral protein, though the required amounts for each protein are not the same. In this study, we found the extra membrane-anchored nonstructural (NS) proteins of Japanese encephalitis virus and dengue virus are rapidly and selectively degraded by the endoplasmic reticulum-associated degradation (ERAD) pathway. Our gene targeting study revealed that ERAD involving Derlin2 and SEL1L, but not Derlin1, is required for the viral genome replication. Derlin2 is predominantly localized in the convoluted membrane (CM) of the viral replication organelle, and viral NS proteins are degraded in the CM. Hence, these results suggest that viral protein homeostasis is regulated by Derlin2-mediated ERAD in the CM, and this process is critical for the propagation of these viruses. IMPORTANCE The results of this study reveal the cellular ERAD system controls the amount of each viral protein in virus-infected cells and that this ""viral protein homeostasis"" is critical for viral propagation. Furthermore, we clarified that the ""convoluted membrane (CM),"" which was previously considered a structure with unknown function, serves as a kind of waste dump where viral protein degradation occurs. We also found that the Derlin2/SEL1L/HRD1-specific pathway is involved in this process, whereas the Derlin1-mediated pathway is not. This novel ERAD-mediated fine-tuning system for the stoichiometries of polyprotein-derived viral proteins may represent a common feature among polyprotein-encoding viruses.",no,Flavivirus,Japanese encephalitis|japanese b encephalitis
flavivirus,japanese encephalitis,"West Nile virus disease (WND) is an arthropod-borne zoonosis responsible for nonspecific fever or severe encephalitis. The pathogen is West Nile virus belonging to the genus Flavivirus, family Flaviviridae. Every year, thousands of cases were reported, which poses significant public health risk. Here, we constructed a West Nile virus chimera, ChiVax-WN01, by replacing the prMDeltaE gene of JEV SA14-14-2 with that of the West Nile virus NY99. The ChiVax-WN01 chimera showed clear, different characters compared with that of JEV SA14-14-2 and WNV NY99 strain. An animal study indicated that the ChiVax-WN01 chimera presented moderate safety and immunogenicity for 4-week female BALB/c mice.",no,Flavivirus,Japanese encephalitis|japanese b encephalitis
